dating,method,site_density,G_mean,G_5_perc,G_95_perc
NPD,INTER,0.0015625,-0.378613986,-0.381064928,-0.376163044
NPD,INTER,0.003125,-0.273819286,-0.276231037,-0.271407535
NPD,INTER,0.00703125,-0.167578121,-0.17025962,-0.164896622
NPD,INTER,0.0125,-0.084462171,-0.087681165,-0.081243178
NPD,INTER,0.025,-0.006929291,-0.010056867,-0.003801714
NPD,INTER,0.035,0.024296998,0.020930978,0.027663018
NPD,INTER,0.05,0.060279511,0.056604091,0.063954931
NPD,SUM,0.0015625,-4.663972913,-4.779766388,-4.548179439
NPD,SUM,0.003125,-2.552627432,-2.672664175,-2.432590689
NPD,SUM,0.00703125,-1.157648424,-1.254270002,-1.061026845
NPD,SUM,0.0125,-0.269703941,-0.337314733,-0.202093149
NPD,SUM,0.025,0.187146169,0.136059711,0.238232627
NPD,SUM,0.035,0.347508157,0.303548435,0.391467878
NPD,SUM,0.05,0.468815431,0.424309115,0.513321748
UPD,INTER,0.003125,-0.313605771,-0.317020244,-0.310191299
UPD,INTER,0.00703125,-0.18221271,-0.185588579,-0.178836842
UPD,INTER,0.0125,-0.117374063,-0.120952603,-0.113795523
UPD,INTER,0.025,-0.047533612,-0.050927844,-0.04413938
UPD,INTER,0.05,0.010340586,0.006609657,0.014071514
UPD,INTER,0.1,0.049875379,0.045761034,0.053989723
UPD,INTER,0.15,0.070367563,0.066139293,0.074595833
UPD,INTER,0.2,0.070909507,0.065914548,0.075904465
UPD,SUM,0.003125,-3.066231197,-3.207711229,-2.924751166
UPD,SUM,0.00703125,-1.067833597,-1.157421902,-0.978245291
UPD,SUM,0.0125,-0.432342259,-0.493129745,-0.371554772
UPD,SUM,0.025,-0.093944055,-0.135033692,-0.052854418
UPD,SUM,0.05,0.140303619,0.110062787,0.17054445
UPD,SUM,0.1,0.240047679,0.215458078,0.26463728
UPD,SUM,0.15,0.299740781,0.280947207,0.318534355
UPD,SUM,0.2,0.309964016,0.293781859,0.326146173
